date,open,high,low,close,volume
2000-04-04,1.34,1.46,1.34,1.39,0.0
2000-04-05,1.39,1.44,1.29,1.39,0.0
2000-04-06,1.39,1.46,1.36,1.46,0.0
2000-04-07,1.46,1.54,1.44,1.51,0.0
2000-04-10,1.51,1.56,1.44,1.46,0.0
2000-04-11,1.46,1.49,1.39,1.41,0.0
2000-04-12,1.41,1.49,1.39,1.39,0.0
2000-04-13,1.39,1.54,1.39,1.54,0.0
2000-04-14,1.54,1.59,1.49,1.56,0.0
2000-04-17,1.56,1.66,1.49,1.56,0.0
2000-04-18,1.56,1.66,1.51,1.54,0.0
2000-04-19,1.54,1.61,1.54,1.59,0.0
2000-04-20,1.59,1.61,1.51,1.56,0.0
2000-04-21,1.56,1.64,1.56,1.59,0.0
2000-04-24,1.59,1.59,1.54,1.56,0.0
2000-04-25,1.56,1.69,1.56,1.69,0.0
2000-04-26,1.69,1.79,1.66,1.66,0.0
2000-04-27,1.66,1.69,1.61,1.64,0.0
2000-04-28,1.64,1.69,1.59,1.64,0.0
2000-05-01,1.64,1.69,1.54,1.56,0.0
2000-05-02,1.56,1.61,1.54,1.56,0.0
2000-05-03,1.56,1.59,1.54,1.56,0.0
2000-05-04,1.56,1.59,1.46,1.51,0.0
2000-05-05,1.51,1.54,1.46,1.49,0.0
2000-05-08,1.49,1.54,1.39,1.41,0.0
2000-05-09,1.41,1.49,1.36,1.49,0.0
2000-05-10,1.49,1.49,1.41,1.44,0.0
2000-05-11,1.44,1.44,1.36,1.41,0.0
2000-05-12,1.41,1.44,1.39,1.41,0.0
2000-05-15,1.41,1.41,1.34,1.34,0.0
2000-05-16,1.34,1.39,1.34,1.36,0.0
2000-05-17,1.36,1.39,1.29,1.34,0.0
2000-05-18,1.34,1.34,1.26,1.29,0.0
2000-05-22,1.29,1.31,1.24,1.31,0.0
2000-05-23,1.31,1.34,1.24,1.24,0.0
2000-05-24,1.24,1.29,1.19,1.26,0.0
2000-05-25,1.26,1.31,1.26,1.26,0.0
2000-05-26,1.26,1.29,1.21,1.24,0.0
2000-05-29,1.24,1.29,1.21,1.24,0.0
2000-05-30,1.24,1.24,1.19,1.24,0.0
2000-05-31,1.24,1.26,1.21,1.24,0.0
2000-06-01,1.24,1.29,1.24,1.26,0.0
2000-06-02,1.26,1.34,1.24,1.26,0.0
2000-06-05,1.26,1.29,1.24,1.29,0.0
2000-06-06,1.29,1.31,1.26,1.29,0.0
2000-06-07,1.29,1.34,1.26,1.26,0.0
2000-06-08,1.26,1.36,1.26,1.36,0.0
2000-06-09,1.36,1.41,1.34,1.36,0.0
2000-06-12,1.36,1.36,1.26,1.29,0.0
2000-06-13,1.29,1.29,1.24,1.26,0.0
2000-06-14,1.26,1.31,1.21,1.24,0.0
2000-06-15,1.24,1.26,1.19,1.19,0.0
2000-06-16,1.19,1.21,1.14,1.16,0.0
2000-06-19,1.16,1.21,1.14,1.16,0.0
2000-06-20,1.16,1.26,1.16,1.24,0.0
2000-06-21,1.24,1.26,1.16,1.19,0.0
2000-06-22,1.19,1.24,1.19,1.19,0.0
2000-06-23,1.19,1.24,1.16,1.16,0.0
2000-06-26,1.16,1.21,1.14,1.14,0.0
2000-06-27,1.14,1.19,1.14,1.19,0.0
2000-06-28,1.19,1.19,1.14,1.16,0.0
2000-06-29,1.16,1.21,1.14,1.16,0.0
2000-06-30,1.16,1.19,1.14,1.16,0.0
2000-07-03,1.16,1.19,1.08,1.08,0.0
2000-07-04,1.08,1.14,1.06,1.06,0.0
2000-07-05,1.06,1.14,1.06,1.11,0.0
2000-07-06,1.11,1.14,1.06,1.06,0.0
2000-07-07,1.06,1.11,1.06,1.06,0.0
2000-07-10,1.06,1.16,1.06,1.14,0.0
2000-07-11,1.14,1.16,1.06,1.06,0.0
2000-07-12,1.06,1.08,1.03,1.08,0.0
2000-07-13,1.08,1.08,1.03,1.03,0.0
2000-07-14,1.03,1.06,1.03,1.03,0.0
2000-07-17,1.03,1.03,0.98,1.01,0.0
2000-07-18,1.01,1.03,0.98,0.99,0.0
2000-07-19,0.99,1.06,0.99,1.05,0.0
2000-07-20,1.05,1.08,1.01,1.01,0.0
2000-07-21,1.01,1.08,1.01,1.06,0.0
2000-07-24,1.06,1.11,1.03,1.08,0.0
2000-07-25,1.08,1.11,1.06,1.11,0.0
2000-07-26,1.11,1.11,1.06,1.06,0.0
2000-07-27,1.06,1.08,1.03,1.03,0.0
2000-07-28,1.03,1.14,1.03,1.14,0.0
2000-07-31,1.14,1.16,1.08,1.16,0.0
2000-08-01,1.16,1.19,1.08,1.11,0.0
2000-08-02,1.11,1.19,1.11,1.11,0.0
2000-08-03,1.11,1.14,1.08,1.11,0.0
2000-08-04,1.11,1.14,1.06,1.06,0.0
2000-08-07,1.06,1.11,1.06,1.06,0.0
2000-08-08,1.06,1.08,1.01,1.03,0.0
2000-08-09,1.03,1.06,1.01,1.01,0.0
2000-08-10,1.01,1.03,1.01,1.02,0.0
2000-08-11,1.02,1.08,1.01,1.06,0.0
2000-08-14,1.06,1.14,1.06,1.11,0.0
2000-08-15,1.11,1.11,1.01,1.03,0.0
2000-08-16,1.03,1.06,1.01,1.01,0.0
2000-08-17,1.01,1.06,1.01,1.03,0.0
2000-08-18,1.03,1.08,1.03,1.06,0.0
2000-08-21,1.06,1.08,1.01,1.03,0.0
2000-08-22,1.03,1.03,0.98,1.02,0.0
2000-08-23,1.02,1.08,1.02,1.03,0.0
2000-08-24,1.03,1.08,1.03,1.03,0.0
2000-08-25,1.03,1.08,1.03,1.06,0.0
2000-08-28,1.06,1.08,1.03,1.06,0.0
2000-08-29,1.06,1.08,1.03,1.06,0.0
2000-08-31,1.06,1.08,1.03,1.06,0.0
2000-09-01,1.06,1.06,1.03,1.03,0.0
2000-09-04,1.03,1.06,1.03,1.03,0.0
2000-09-05,1.03,1.06,1.03,1.03,0.0
2000-09-06,1.03,1.06,1.01,1.01,0.0
2000-09-07,1.01,1.06,1.01,1.03,0.0
2000-09-08,1.03,1.04,1.0,1.02,0.0
2000-09-11,1.02,1.02,0.97,0.99,0.0
2000-09-12,0.99,1.03,0.97,0.99,0.0
2000-09-13,0.99,1.03,0.99,0.99,0.0
2000-09-14,0.99,1.01,0.96,0.97,0.0
2000-09-15,0.97,1.0,0.96,0.97,0.0
2000-09-18,0.97,0.97,0.9,0.9,0.0
2000-09-19,0.9,0.91,0.86,0.86,0.0
2000-09-20,0.86,0.91,0.86,0.91,0.0
2000-09-21,0.91,0.92,0.88,0.89,0.0
2000-09-22,0.89,0.89,0.85,0.86,0.0
2000-09-25,0.86,0.89,0.85,0.87,0.0
2000-09-26,0.87,0.9,0.87,0.89,0.0
2000-09-27,0.89,0.94,0.88,0.89,0.0
2000-09-28,0.89,0.92,0.89,0.89,0.0
2000-09-29,0.89,0.9,0.88,0.89,0.0
2000-10-02,0.89,0.92,0.88,0.91,0.0
